Subject,Methods,Condition1,Task,Condition2,Label,Mental,Physical,Temporal,Task Complexity,Stress,Distractions,Performance,Effort,Frustration,Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,mds1,mds2
8,3,UL,2,Peg,62,25,10,15,25,15,5,5,55,0,-2.061226468,-0.036037821,0.211216803,-0.176742451,0.424413126,-0.579295514,0.572093606,0.413980652,-0.050984176,0.187035,-0.064146
8,4,VL,1,Clock,63,65,20,20,80,65,10,80,25,75,1.549334933,-0.26068157,-0.803368155,-0.449192361,-2.265496288,-0.031955519,-1.226379779,0.496911269,0.071672087,-0.361074,-0.154729
8,4,VL,2,Peg,64,70,55,30,80,80,20,80,80,30,2.606270004,-0.078832213,-0.687595771,-0.447699854,-0.071318058,0.165140283,-0.019457586,1.683735793,0.627991183,0.011538,0.122227
9,1,CL,1,Clock,65,45,20,35,25,35,5,40,40,35,-0.508647923,0.097201319,0.024746489,0.510258601,-0.497207989,-0.286606245,-0.196974178,-0.163504445,0.408044195,0.279906,-0.50043
9,1,CL,2,Peg,66,30,10,25,15,45,5,30,45,35,-1.009429152,0.228876734,-0.192426895,0.929050646,-0.712945629,-0.433052468,0.258668847,0.255442644,0.143665361,0.009901,0.406085
9,2,PL,1,Clock,67,50,55,55,60,60,25,70,60,65,2.263442291,0.622048285,-0.669352027,0.372471562,-0.194887685,0.321983274,-0.466558186,0.122047949,-0.318735699,-0.117458,-0.180753
9,2,PL,2,Peg,68,60,60,40,60,60,35,65,60,60,2.296915795,1.041697737,-1.181262963,-0.242059306,-0.112318741,0.294543529,-0.094212228,0.164509561,-0.081729655,0.501549,0.071868
9,3,UL,1,Clock,69,30,25,25,35,25,20,30,30,25,-0.939758033,0.812597545,-0.513986516,-0.261200813,-0.072825173,0.06858101,-0.31557065,-0.023319877,-0.134098706,0.17644,-0.090275
9,3,UL,2,Peg,70,40,15,20,35,25,20,25,35,35,-0.854953032,0.700909277,-0.624470304,-0.369214953,-0.388916837,-0.460498861,-0.112146323,-0.171734757,-0.16035211,0.24705,0.427887
9,4,VL,1,Clock,71,65,25,45,70,55,25,55,60,60,1.794222221,0.490690173,-0.648178745,-0.294111076,-0.535201465,-0.815933032,-0.562066026,0.33423337,-0.297706337,-0.347021,0.341069
9,4,VL,2,Peg,72,75,35,45,70,0,25,55,75,65,1.562487373,-0.409126177,-0.725790801,-1.110867977,0.548167254,-0.914671601,-0.43890921,-1.222803779,-0.553751521,0.503511,0.203406
10,1,CL,1,Clock,73,25,5,0,30,0,0,25,25,15,-2.468564817,-0.533497122,-0.200520536,-0.556116328,-0.467382527,-0.075119042,-0.211471443,-0.19057933,0.025494246,0.053127,0.320479
10,1,CL,2,Peg,74,0,10,0,5,0,0,20,20,15,-3.19431201,-0.191859112,-0.345970143,0.27473708,-0.336613596,0.446222236,0.094753006,-0.369364186,-0.165616628,-0.348797,-0.307859
10,2,PL,1,Clock,75,25,5,0,35,0,0,95,75,80,-0.25436667,-2.461882863,-1.924534881,0.614785248,-0.710048289,-0.229811389,-0.227044098,-0.868743899,-0.691541559,-0.422708,0.091304
10,2,PL,2,Peg,76,80,10,0,80,0,0,95,85,80,1.306283988,-2.896655536,-1.37579597,-1.152242709,-0.880127337,-1.00272802,-0.409130174,-0.746738779,-0.167853131,-0.173578,0.252908
10,3,UL,1,Clock,77,40,10,0,50,0,0,95,60,45,-0.416260858,-2.246377752,-1.456514151,-0.288319355,-0.369097733,-0.041662663,-0.737218851,-0.303080066,0.097084242,-0.115001,-0.322111
10,3,UL,2,Peg,78,30,10,0,45,0,0,40,50,20,-1.614261064,-1.21446304,-0.415919879,-0.698357461,-0.118222382,-0.191662453,-0.082025134,0.030218337,-0.166625885,0.284935,0.431551
10,4,VL,1,Clock,79,60,5,0,50,0,0,95,75,75,0.368113655,-2.550387195,-1.638591294,-0.246418382,-0.823838747,-0.730133142,-0.345528251,-0.908115222,-0.030087965,-0.096173,-0.361294
10,4,VL,2,Peg,80,10,10,0,80,0,0,95,80,85,0.34185606,-2.849728622,-1.690608435,-0.194241701,-0.721456698,0.084944435,-0.676267552,-0.196593675,-1.854833029,-0.407147,-0.079141
11,1,CL,1,Clock,81,60,0,30,50,15,0,15,65,20,-0.774277915,-0.673395352,0.633779939,-0.60846443,0.017106721,-1.506354221,0.081329624,0.109446153,0.050909352,-0.456746,-0.196715
11,1,CL,2,Peg,82,55,0,20,30,10,0,10,70,0,-1.554829572,-0.647311761,0.464998395,-0.441365112,0.497768483,-1.445050224,0.570027581,0.215061904,0.491519256,0.054673,0.147027
11,2,PL,1,Clock,83,30,60,20,50,10,0,10,60,20,-0.661874795,-0.425048443,0.818424919,-0.792466441,0.506219356,0.745688339,0.878018993,-0.112178444,-0.469264609,-0.248984,-0.39588
11,2,PL,2,Peg,84,20,65,10,25,15,0,10,0,0,-2.102756408,0.674497185,0.797945377,-0.67570164,-0.216018973,1.884307302,0.222910636,-0.228864155,0.491480053,-0.155711,0.131133
11,3,UL,1,Clock,85,15,15,15,25,10,0,20,25,15,-2.272427179,-0.113784196,0.170368292,-0.020504477,-0.288626602,0.225420726,-0.163619885,-0.091535417,-0.139344138,-0.133645,0.500911
11,3,UL,2,Peg,86,10,10,10,30,15,0,5,50,15,-2.18180927,-0.3060879,0.229738136,-0.024312727,-0.064355661,-0.246606511,0.533135638,0.365124696,-0.624125095,-0.181331,-0.479343
11,4,VL,1,Clock,87,75,40,25,85,15,0,10,80,70,1.188838969,-1.046238565,0.850350788,-1.52476499,-0.595210224,-0.859806189,0.811226421,-0.61138042,-0.956572828,-0.308328,-0.011905
11,4,VL,2,Peg,88,85,40,25,90,45,0,40,85,95,2.49166332,-1.252561147,0.308341728,-0.932065247,-1.468935267,-0.839236315,0.653288634,-0.251880303,-0.733498172,0.512874,-0.089721
12,1,CL,1,Clock,89,5,15,5,5,5,0,5,95,0,-2.376598286,-0.913941258,-0.117359932,0.555945777,1.230575293,-0.546711691,1.730872154,0.385293202,-0.42687139,-0.284762,-0.463779
12,1,CL,2,Peg,90,0,15,10,0,25,0,25,80,10,-2.031091286,-0.663083794,-0.387839869,1.229485455,0.604256302,-0.154407735,1.242104679,0.587292213,-0.209663733,0.099886,-0.006488
12,2,PL,1,Clock,91,5,50,50,5,35,5,35,75,35,-0.374896004,0.060022961,0.150355247,1.777520769,0.802844408,0.581919954,0.819034447,-0.143576892,-0.447313283,-0.195513,-0.337662
12,2,PL,2,Peg,92,15,75,90,10,30,10,95,90,65,1.805749731,-0.48526047,-0.336089737,2.651198637,1.494276572,1.113900516,-0.227816643,-1.118901378,-0.383197592,0.314991,0.382809
12,3,UL,1,Clock,93,15,35,15,35,40,0,30,70,15,-0.814030254,-0.515555512,0.09864947,0.404671727,0.173457979,0.352491009,0.830035446,0.984128583,-0.234946645,0.512854,0.043196
12,3,UL,2,Peg,94,0,15,15,5,30,0,35,65,25,-1.718719412,-0.543470973,-0.455958969,1.349624864,0.051208994,0.061510476,0.729273036,0.391091365,-0.313069384,0.386568,0.198579
12,4,VL,1,Clock,95,50,45,35,25,35,0,45,75,20,0.114888223,-0.572451866,0.306535793,0.538411626,0.488816389,0.040025929,0.674705447,0.13586808,0.718183621,0.267282,0.292825
12,4,VL,2,Peg,96,70,60,70,45,50,0,75,90,60,2.491979179,-0.866709947,0.506786262,1.071817931,0.258048621,-0.042631153,0.091967313,-0.334582226,0.461729791,-0.041108,-0.519286
13,1,CL,1,Clock,97,5,5,10,5,5,5,20,15,20,-2.941312932,0.233513915,-0.388501558,0.387435369,-0.423925413,0.175037723,-0.190613457,-0.459003355,-0.164102036,0.272657,-0.116753
13,1,CL,2,Peg,98,5,15,35,5,15,0,20,10,10,-2.622580869,0.51006061,0.452187924,0.842219485,-0.159111528,0.434963726,-0.548426343,-0.293479486,0.083006473,0.11968,0.040258
13,2,PL,1,Clock,99,60,60,20,10,60,35,90,85,85,2.258666985,0.428438977,-2.564429202,1.127900489,-0.248419353,0.251692764,1.059483447,-0.63483487,0.481367657,-0.021983,0.551879
13,2,PL,2,Peg,100,50,40,20,55,45,10,60,50,55,0.841651761,-0.291868914,-0.576736768,-0.177243001,-0.862963965,0.29615754,-0.085980451,0.148751476,0.005765655,0.423218,0.320599
13,3,UL,1,Clock,101,15,15,30,40,40,10,20,30,40,-0.972022144,0.631286992,0.014635956,0.326086419,-0.78794474,-0.044382367,-0.282016344,0.333825317,-0.771691436,-0.455186,0.011341
13,3,UL,2,Peg,102,10,35,30,5,35,5,70,55,60,-0.312752971,-0.457491117,-0.970208254,1.796561849,-0.373975742,0.704700013,0.128888863,-0.480622827,-0.211808517,0.127954,0.100654
13,4,VL,1,Clock,103,55,25,30,10,40,5,75,65,65,0.545049028,-0.693330592,-0.950046655,1.317053476,-0.681316757,-0.334937536,0.219187337,-0.66631585,0.667706054,0.454323,0.503675
13,4,VL,2,Peg,104,40,30,40,25,40,15,30,50,40,-0.106886101,0.689694364,-0.150327459,0.543661104,-0.135130616,-0.26266263,0.194176254,-0.149143341,-0.007883816,0.297277,-0.23114
14,1,CL,1,Clock,105,60,25,70,60,45,10,30,60,15,0.72940191,0.44631111,1.037603306,-0.01875336,0.51523247,-0.906484282,-0.639600722,0.618787392,0.19462439,-0.446823,-0.131656
14,1,CL,2,Peg,106,45,45,25,65,70,0,45,60,30,0.901067016,-0.298505167,0.4389389,-0.028083588,-0.743990377,0.3911966,0.277903717,1.415973717,0.15818954,0.519649,-0.440379
14,2,PL,1,Clock,107,80,80,80,60,65,0,25,85,85,3.210134264,0.148847104,1.71875919,0.587588322,-0.442824712,-0.078760663,0.91462416,-0.614631532,-0.309018529,0.100991,-0.003278
14,2,PL,2,Peg,108,90,85,95,80,65,0,85,85,95,4.58890516,-0.721123712,1.135857672,0.736954564,-0.360727487,0.323261185,-0.460067479,-0.667583718,0.037496758,0.300909,0.505448
14,3,UL,1,Clock,109,70,70,70,65,60,0,45,75,65,2.628230489,-0.190405896,1.265623796,0.397402935,-0.293293865,0.182170259,0.243960577,-0.108695823,-0.056139941,0.1409,0.569649
14,3,UL,2,Peg,110,75,65,65,55,45,5,45,65,55,2.036429207,0.013611527,0.946326204,0.105050031,-0.037237486,0.081850577,0.072645092,-0.498837608,0.305648266,0.346484,0.065123
14,4,VL,1,Clock,111,75,80,85,85,60,5,85,85,85,4.120556096,-0.693163231,0.72432364,0.484935277,-0.101216559,0.44115387,-0.544270896,-0.302401547,-0.292774844,-0.149396,-0.339629
14,4,VL,2,Peg,112,75,70,80,65,45,35,25,75,85,3.093411058,1.534663784,0.171376785,-0.253662361,0.368632825,-0.489728096,0.266141917,-1.061736035,-0.930827528,0.255958,-0.253059
15,1,CL,1,Clock,113,10,10,5,15,10,0,0,10,5,-3.172836815,0.374161109,0.313807886,-0.165236473,-0.528286414,0.251910447,0.066892061,-0.023043634,-0.028840069,-0.546648,-0.214428
15,1,CL,2,Peg,114,5,10,5,0,25,0,10,10,0,-3.207438511,0.541188213,0.076641273,0.505035313,-0.588558892,0.425900146,0.155949211,0.306251948,0.371272608,-0.139288,-0.162487
15,2,PL,1,Clock,115,25,15,5,25,5,0,0,20,10,-2.643430765,0.104931498,0.406290446,-0.603896112,-0.42776361,0.039946729,0.219293274,-0.216388836,0.002936143,0.463571,0.165661
15,2,PL,2,Peg,116,30,50,30,35,5,0,35,50,5,-1.02422174,-0.516258058,0.524802306,-0.265263686,0.847552515,0.75170418,0.08813141,-0.203452313,0.236747358,-0.394794,0.502901
15,3,UL,1,Clock,117,15,5,0,15,5,0,0,10,0,-3.365855865,0.252479874,0.229635186,-0.388707115,-0.486112792,0.072989284,0.054519202,-0.037534387,0.138406044,-0.184809,-0.567775
15,3,UL,2,Peg,118,10,10,15,0,5,0,0,5,0,-3.452139346,0.59411781,0.433292159,0.210283159,-0.262762263,0.248608669,-0.054327105,-0.369960236,0.25561271,0.470248,-0.562611
15,4,VL,1,Clock,119,25,5,25,30,5,0,0,20,0,-2.608556713,0.232222991,0.803685853,-0.424659559,-0.057237897,-0.355130359,-0.352301531,-0.038413195,-0.020517871,0.351994,-0.28163
15,4,VL,2,Peg,120,40,10,50,35,20,0,45,40,10,-0.948225931,-0.319304895,0.532827248,0.369232161,0.251432877,-0.466306658,-0.972503524,0.074020546,0.451951966,0.224868,0.570358
16,1,CL,1,Clock,121,75,60,40,70,75,10,10,65,65,2.132897935,0.75229781,0.93085201,-0.484978602,-1.104645244,-0.234602113,1.020062363,0.440099732,-0.246022442,0.545317,0.371957
16,1,CL,2,Peg,122,70,50,35,35,55,5,10,60,70,1.065689907,0.488194146,0.668796182,0.175072,-1.107234956,-0.351438319,1.243933296,-0.514410169,0.053016145,0.066326,0.320401
16,2,PL,1,Clock,123,85,80,50,80,75,15,70,70,70,3.576365537,0.136838395,0.086056911,-0.331064644,-0.652590586,0.530633783,0.105757685,0.297093474,0.326584148,0.290767,-0.338362
16,2,PL,2,Peg,124,90,90,65,90,90,45,85,90,90,5.309240541,1.243247308,-1.174600469,-0.306652237,-0.029759857,0.235995629,0.043844408,0.334172421,-0.221557688,-0.268673,0.028007
16,3,UL,1,Clock,125,60,60,30,55,55,10,70,65,65,1.920458234,-0.365634198,-0.478248244,0.116023781,-0.679639351,0.544534097,0.239501242,0.030306138,0.178905311,-0.463883,-0.288416
